Date,Day,Area,Property,Content Produced,Arrival Time,Shooting Time,Estimated Finish,Shot Priority,Notes
2026-06-01,Monday,Depok,"Premiere Promenade; The Philosophia",Property Tour + Cluster Review,07:00,07:30-11:30,12:00,"Gate; Facade; Interior; Facilities; Talking Head","Both properties in same area Depok. Start with Premiere Promenade (bigger project). Bring gimbal + drone. Morning light best for exterior."
2026-06-02,Tuesday,Sawangan,"Shila at Sawangan; Telaga Kahuripan",Property Tour + Developer Review,07:00,07:30-12:00,12:30,"Green area; Interior; Developer branding; Sales gallery; Township overview","Both in Sawangan-Bogor corridor. Shila first then drive 15min to Telaga Kahuripan. Need drone for township aerial."
2026-06-03,Wednesday,Sawangan,"Candi Aisyah at Garden; The Brawijaya Pamulang",Property Tour + House Walkthrough + Education Content,07:00,07:30-12:30,13:00,"Garden concept; Interior quality; Townhouse 3 floors; Rooftop; Talking head for education","Candi Aisyah in Sawangan then 20min to Pamulang for Brawijaya. Shoot education talking head at Brawijaya rooftop."
2026-06-04,Thursday,Studio/Depok,"Grand Duta City; Nuansa Indah Village",Property Comparison + Entertainment Content,07:30,08:00-12:00,12:30,"Facilities Grand Duta; Both property exteriors; Comparison shots; Entertainment skit","Shoot comparison content. Both in Depok area close to each other. Entertainment content can be shot at one location."

2026-06-08,Monday,Sawangan,"Morizono at Garden Sawangan; Gardenia dan Ever Green",Property Tour + Cluster Review,07:00,07:30-12:00,12:30,"Japanese garden; Zen elements; 2-hectare park; Green area; Drone aerials","Both properties in Sawangan area within 10min of each other. Japanese garden needs morning light. Green area shots for Gardenia."
2026-06-09,Tuesday,Serpong,"Paradise Resort City; Wangsa Serpong",Facility Showcase + Area Review,07:00,07:30-12:30,13:00,"Resort facilities; Pool; Lazy river; Area review Serpong; Commercial corridor; Drone","Start with Paradise Resort for morning pool shots (no crowd). Then Wangsa Serpong + area B-roll for Serpong review."
2026-06-10,Wednesday,Sawangan/Hills Area,"Nano Town Hills; Education Content",Property Tour + Education Content,08:00,08:30-11:30,12:00,"Compact house smart design; High ceiling; Mezzanine; Talking head for SHM vs HGB","Nano Town Hills for compact living content. Use empty unit for talking head education content. Bring text overlay props."
2026-06-11,Thursday,Sawangan,"Hcity Sawangan; Entertainment Quiz Content",Property Tour + Quiz Content,07:30,08:00-12:00,12:30,"Smart home demo; Phone control; Tech features; Quiz 3 properties for entertainment; Exterior 3 houses for quiz","Hcity smart home needs full demo setup. Coordinate with developer for smart features access. Shoot quiz exterior at 3 nearby properties."
2026-06-15,Monday,Depok,"Martadinata Residence; The Avoria",Property Tour + Cluster Review,07:00,07:30-11:30,12:00,"Station access route; Exclusive gate; Limited units; Premium interior; Transportation shots","Martadinata close to station (shoot commute route). The Avoria exclusive cluster limited access. Get developer permission in advance."
2026-06-16,Tuesday,Kemang,"Kemang Verde; Kemang Eminence Resort",Property Tour + Developer Review,07:30,08:00-13:00,13:30,"Premium lobby; Interior show unit; Resort facilities; Infinity pool; Spa area; Concierge","Both in Kemang area 5min apart. Premium locations need professional wardrobe. Book show house access in advance. Pool shots best before 10am."
2026-06-17,Wednesday,Sawangan,"The Ayase; Education Content",Property Tour + Education Red Flags,07:30,08:00-11:30,12:00,"Japanese minimalis; Wood accent; Tatami; Indoor garden; Talking head for red flags","The Ayase for morning light on wood textures. Education content filmed on location for authentic feel. Bring graphic cards for red flags."
2026-06-18,Thursday,Depok/Pamulang,"New Permata Residence; Kalimaya Park; Entertainment Content",House Walkthrough + Comparison + Entertainment,07:00,07:30-12:30,13:00,"Ready stock house real condition; Comparison exteriors; Meme recreation shots; Real quality checks","New Permata ready stock - show real condition. Kalimaya for comparison B-roll. Entertainment meme shot at location. Bring props for skit."

2026-06-22,Monday,Depok,"Premiere Promenade; Education Tax Content",Property Tour Update + Education,07:30,08:00-11:30,12:00,"New type unit; Larger layout; 4BR master below; Talking head for tax education","Premiere Promenade new type unit. Coordinate access to new show unit. Shoot education content in professional corner of sales gallery."
2026-06-23,Tuesday,Sawangan,"Shila at Sawangan; Area B-Roll Sawangan",Property Tour + Area Review,07:00,07:30-12:00,12:30,"New premium type; Double carport; Area development; New roads; Commercial growth; Drone area overview","Shila new type then extensive area B-roll for Sawangan area review content. Need drone for development showcase."
2026-06-24,Wednesday,Sawangan,"Svacasa Sawangan; Entertainment Content",Investment Content + Entertainment,07:30,08:00-11:00,11:30,"Eco-friendly features; Solar panel; Area growth evidence; Rich vs Smart buyer skit","Svacasa eco features for investment content. Rich vs Smart buyer skit can be shot anywhere neat. Minimal props needed."
2026-06-25,Thursday,Depok/Pamulang,"Terra Estetic Town House; Grand Duta City",Property Tour + Facility Showcase,07:00,07:30-12:30,13:00,"Industrial design; Rooftop; Exposed brick; Club house; Pool; Jogging track; All facilities","Terra Estetic first (smaller project faster shoot). Then Grand Duta for full facility showcase. Bring wide lens for facilities."
2026-06-29,Monday,Sawangan,"Morizono at Garden Sawangan; Paradise Resort City",Japanese Garden + Resort Update,07:00,07:30-12:30,13:00,"Authentic Japanese garden details; Koi pond; Stone path; Resort progress 80%; Pool construction; Remaining units board","Morizono Japanese garden morning light essential. Paradise Resort progress shots need access to construction area. Safety gear needed."
2026-06-30,Tuesday,Serpong,"Wangsa Serpong; Education KPR Content",Premium Tour + Education,07:30,08:00-11:30,12:00,"Premium facade; Modern interior; Commercial nearby; Talking head KPR simulation; Calculator prop","Wangsa Serpong tour then education content at professional looking spot in sales gallery. Bring calculator prop and whiteboard."
2026-07-01,Wednesday,Sawangan/Hills,"Nano Town Hills; Assana Village",Compact Tour + Developer Review,07:30,08:00-12:00,12:30,"Smart layout details; High ceiling measurement; Mezzanine; Build quality Assana; Material closeup; Developer team shots","Both relatively close. Nano Town for compact living details. Assana for quality showcase. Need macro lens for material details."
