Week,Date,Day,Content Pillar,Content Type,Property Name,Topic,Reel Title,Hook,CTA,Shooting Date,Status
1,2026-06-01,Monday,MARKETING,Property Tour,Premiere Promenade,Cluster Premium di Depok,"Cluster Premium Depok yang Bikin Kamu Lupa Mau Pulang","Rumah estetik ini ternyata cicilannya cuma 5 jutaan... dan fasilitasnya bikin kaget!","Komen INFO untuk price list lengkap Premiere Promenade.",2026-06-01,Scheduled
1,2026-06-01,Monday,MARKETING,Cluster Review,The Philosophia,Hunian Filosofis Modern,"The Philosophia: Rumah dengan Konsep yang Beda dari Yang Lain","Cluster ini namanya unik banget... tapi tunggu sampai kamu lihat designnya.","DM kami kata SURVEY untuk jadwal kunjungan The Philosophia.",2026-06-01,Scheduled
1,2026-06-02,Tuesday,MARKETING,Property Tour,Shila at Sawangan,Hunian Asri Sawangan,"Shila at Sawangan: Hidden Gem di Selatan Jakarta","Kalau budget 500 jutaan dan mau rumah asri... ini jawabannya.","Komen HARGA untuk info cicilan Shila at Sawangan.",2026-06-02,Scheduled
1,2026-06-02,Tuesday,MARKETING,Developer Review,Telaga Kahuripan,Developer Terpercaya,"Telaga Kahuripan: Developer yang Diam-diam Bangun Kota Mandiri","Developer ini diam-diam punya proyek terbaik tahun ini di Bogor.","Follow Estetika Property untuk rekomendasi rumah terbaik setiap hari.",2026-06-02,Scheduled
1,2026-06-03,Wednesday,EDUCATION,KPR Tips,-,Cara Hitung Cicilan KPR,"Jangan Ambil KPR Sebelum Tahu Rumus Ini","90% orang salah hitung kemampuan cicilan mereka... ini rumus yang benar.","Simpan video ini dan share ke teman yang lagi cari rumah!",2026-06-03,Scheduled

1,2026-06-03,Wednesday,MARKETING,Property Tour,Candi Aisyah at Garden,Rumah Cantik Bergaya Modern,"Candi Aisyah: Rumah 600 Jutaan yang Terlihat 1 Miliar","Kalau budget 600 juta jangan beli rumah sebelum lihat ini.","Komen INFO untuk price list lengkap Candi Aisyah.",2026-06-03,Scheduled
1,2026-06-04,Thursday,MARKETING,House Walkthrough,The Brawijaya Pamulang,Townhouse Strategis Pamulang,"The Brawijaya Pamulang: Townhouse Premium Harga Waras","Townhouse ini 10 menit dari Bintaro... tapi harganya beda jauh!","DM kami kata JADWAL untuk survey The Brawijaya Pamulang.",2026-06-04,Scheduled
1,2026-06-04,Thursday,ENTERTAINING,POV House Hunting,-,Drama Cari Rumah Pertama,"POV: Cari Rumah Pertama Bareng Pasangan","POV: Kamu dan pasangan akhirnya survey rumah pertama... tapi selera beda 180 derajat.","Follow Estetika Property biar gak salah pilih rumah!",2026-06-04,Scheduled
1,2026-06-05,Friday,MARKETING,Property Comparison,"Grand Duta City vs Nuansa Indah Village",Perbandingan 2 Cluster Depok,"Grand Duta City vs Nuansa Indah Village: Mana yang Lebih Worth It?","Dua cluster ini sama-sama di Depok... tapi perbedaannya bikin kamu mikir ulang.","Komen pilihan kamu di kolom komentar! DM INFO untuk detail.",2026-06-05,Scheduled
1,2026-06-05,Friday,EDUCATION,Property Investment,-,Kapan Waktu Terbaik Beli Rumah,"Waktu Terbaik Beli Rumah Itu Bukan Januari... Tapi Ini","Semua bilang beli rumah di awal tahun... padahal waktu terbaik itu...","Simpan video ini! Follow untuk tips properti setiap hari.",2026-06-05,Scheduled

2,2026-06-08,Monday,MARKETING,Property Tour,Morizono at Garden Sawangan,Hunian Jepang di Sawangan,"Morizono: Rumah Konsep Jepang yang Bikin Betah di Rumah","Konsep Jepangnya bukan cuma di facade... tapi sampai ke detail interiornya.","Komen MORIZONO untuk info harga dan cicilan.",2026-06-08,Scheduled
2,2026-06-08,Monday,MARKETING,Cluster Review,"Gardenia dan Ever Green",Cluster Hijau di Sawangan,"Gardenia & Ever Green: 2 Cluster yang Bikin Udara Rumahmu Beda","Cluster ini punya taman seluas 2 hektar... dan harganya masih di bawah 1M.","DM kami kata SURVEY untuk jadwal kunjungan.",2026-06-08,Scheduled
2,2026-06-09,Tuesday,MARKETING,Facility Showcase,Paradise Resort City,Fasilitas Selevel Resort,"Paradise Resort City: Fasilitasnya Kayak Tinggal di Resort Bali","Bayangin tiap pagi bangun tidur langsung view kolam renang resort...","Komen PARADISE untuk price list lengkap.",2026-06-09,Scheduled
2,2026-06-09,Tuesday,MARKETING,Area Review,Wangsa Serpong,Review Area Serpong,"Kenapa Serpong Masih Jadi Area Investasi Terbaik 2026","Area ini naik 15% per tahun... dan masih ada cluster baru di bawah 1M.","Follow Estetika Property untuk update properti Serpong.",2026-06-09,Scheduled
