Content ID,Pillar,Property,Reel Title,Hook,Body Script,B-Roll Shot List,Drone Shot List,Talking Head Script,CTA,Estimated Duration
W1-MON-01,MARKETING,Premiere Promenade,"Cluster Premium Depok yang Bikin Kamu Lupa Mau Pulang","Rumah estetik ini ternyata cicilannya cuma 5 jutaan... dan fasilitasnya bikin kaget!","[PROBLEM] Cari rumah di Depok yang estetik tapi harga masuk akal itu susah. [SOLUTION] Premiere Promenade hadir dengan desain modern minimalis di lokasi premium Depok. [USP] Dengan cicilan mulai 5 jutaan kamu dapat rumah 2 lantai dengan facade premium dan smart layout. [BENEFIT] Investasi yang tepat di area berkembang pesat dengan akses tol langsung.","Gate cluster; Facade depan; Living room angle wide; Kitchen set modern; Bedroom master; Kamar mandi rain shower; Taman belakang; Area jogging track; Club house","Aerial cluster overview; Bird eye view rumah; Tracking shot jalan utama cluster; Reveal shot dari atas","Hai! Hari ini aku mau tunjukin cluster premium di Depok yang cicilannya cuma 5 jutaan. Ini Premiere Promenade dan honestly fasilitasnya di luar ekspektasi. Yuk kita tour!","Komen INFO untuk price list lengkap Premiere Promenade.",30s
W1-MON-02,MARKETING,The Philosophia,"The Philosophia: Rumah dengan Konsep yang Beda dari Yang Lain","Cluster ini namanya unik banget... tapi tunggu sampai kamu lihat designnya.","[PROBLEM] Bosan dengan desain rumah yang itu-itu aja? [SOLUTION] The Philosophia membawa konsep hunian dengan karakter dan jiwa di setiap desainnya. [USP] Setiap blok punya tema arsitektur berbeda terinspirasi dari filosofi kehidupan. [BENEFIT] Bukan cuma beli rumah tapi punya karya seni yang bisa ditinggali.","Gate entrance signage; Detail arsitektur unik; Pattern dinding; Corridor antar blok; Interior living room; Detail furniture bawaan; Garden area; Community space","Aerial view keseluruhan cluster; Tracking shot antar blok; Reveal desain dari atas","Kalian pasti penasaran sama nama cluster ini kan? The Philosophia. Dan ternyata konsepnya sesuai namanya. Setiap blok punya tema berbeda. Let me show you!","DM kami kata SURVEY untuk jadwal kunjungan The Philosophia.",28s

W1-TUE-01,MARKETING,Shila at Sawangan,"Shila at Sawangan: Hidden Gem di Selatan Jakarta","Kalau budget 500 jutaan dan mau rumah asri... ini jawabannya.","[PROBLEM] Budget 500 jutaan tapi mau rumah yang asri dan gak sumpek. [SOLUTION] Shila at Sawangan menawarkan hunian dengan konsep green living di area yang masih sejuk. [USP] Luas tanah mulai 72m2 dengan taman depan belakang dan RTH 30% di seluruh kawasan. [BENEFIT] Udara segar setiap hari tanpa perlu jauh dari Jakarta.","Gate masuk kawasan; Jalan cluster yang rindang; Taman depan rumah; Living room natural light; Dapur bersih; Kamar tidur; Taman belakang; RTH kawasan; Playground anak","Aerial view kawasan hijau; Tracking shot jalan rindang; Bird eye view RTH; Sunset shot","Halo! Kalau kamu punya budget 500 jutaan dan prioritasnya lingkungan yang asri... Shila at Sawangan ini answer-nya. Udara di sini beda banget sama Jakarta. Yuk masuk!","Komen HARGA untuk info cicilan Shila at Sawangan.",30s
W1-TUE-02,MARKETING,Telaga Kahuripan,"Telaga Kahuripan: Developer yang Diam-diam Punya Proyek Terbaik Tahun Ini","Developer ini diam-diam punya proyek terbaik tahun ini di Bogor.","[PROBLEM] Banyak developer besar yang overpromise tapi underdeliver. [SOLUTION] Telaga Kahuripan sudah membuktikan track record 10+ tahun membangun kota mandiri. [USP] Township 500 hektar dengan fasilitas lengkap: mall RS sekolah dan commercial area. [BENEFIT] Investasi di kota mandiri yang sudah jalan bukan yang masih janji.","Gate utama megah; Signage developer; Mall internal; Sekolah; Rumah sakit; Jalan boulevard; Show unit; Sales gallery; Perumahan existing","Aerial full township; Tracking shot boulevard; Bird eye commercial area; Panoramic view kawasan","Developer ini gak banyak iklan tapi hasilnya ngomong sendiri. Telaga Kahuripan udah bangun kota mandiri yang beneran jalan. Ini bukan janji lagi ini bukti!","Follow Estetika Property untuk rekomendasi rumah terbaik setiap hari.",30s
W1-WED-01,EDUCATION,-,"Jangan Ambil KPR Sebelum Tahu Rumus Ini","90% orang salah hitung kemampuan cicilan mereka... ini rumus yang benar.","[PROBLEM] Banyak yang ambil KPR terlalu besar dan akhirnya kesulitan bayar. [SOLUTION] Ada rumus sederhana: cicilan maksimal 30% dari penghasilan bersih. [EXAMPLE] Kalau gaji 10 juta maka cicilan maksimal 3 juta. Artinya rumah yang bisa kamu ambil sekitar 400-500 jutaan dengan tenor 20 tahun. [BENEFIT] Dengan rumus ini kamu bisa punya rumah tanpa stres finansial.","Text overlay formula; Kalkulator visual; Grafik perbandingan; Screenshot simulasi bank; Ilustrasi gaji vs cicilan","N/A","Aku mau kasih rumus yang bisa mengubah cara kamu lihat KPR. 90% orang salah hitung dan akhirnya struggle. Rumusnya simpel: cicilan maksimal 30% dari gaji bersih. Jadi kalau gaji 10 juta maksimal cicilan 3 juta. Simple kan?","Simpan video ini dan share ke teman yang lagi cari rumah!",25s

W1-WED-02,MARKETING,Candi Aisyah at Garden,"Candi Aisyah: Rumah 600 Jutaan yang Terlihat 1 Miliar","Kalau budget 600 juta jangan beli rumah sebelum lihat ini.","[PROBLEM] Rumah 600 jutaan biasanya desainnya standar dan membosankan. [SOLUTION] Candi Aisyah at Garden memberikan desain dan finishing level 1 miliar di range harga 600 juta. [USP] Full furnished kitchen set granit alam dan garden concept di setiap unit. [BENEFIT] Tampil mewah tanpa keluar budget berlebihan.","Gate cluster bernuansa garden; Facade rumah angle rendah; Kitchen set built-in; Detail granit; Garden depan; Living room furnished; Bedroom dengan view; Taman komunal","Aerial cluster; Tracking shot taman; Reveal facade dari jalan; Bird eye view layout","600 juta biasanya dapat rumah standar kan? Nah Candi Aisyah ini beda. Finishingnya level rumah 1 miliar. Kitchen set udah include granit premium garden di setiap unit. Gak percaya? Lihat sendiri!","Komen INFO untuk price list lengkap Candi Aisyah.",30s
W1-THU-01,MARKETING,The Brawijaya Pamulang,"The Brawijaya Pamulang: Townhouse Premium Harga Waras","Townhouse ini 10 menit dari Bintaro... tapi harganya beda jauh!","[PROBLEM] Townhouse di Bintaro harganya sudah tidak masuk akal untuk ukuran yang kamu dapat. [SOLUTION] The Brawijaya Pamulang hanya 10 menit dari Bintaro tapi harganya jauh lebih reasonable. [USP] 3 lantai dengan rooftop carport 2 mobil dan desain industrial modern. [BENEFIT] Lifestyle Bintaro dengan harga Pamulang.","Facade townhouse 3 lantai; Carport luas; Living room industrial; Dapur island; Kamar lantai 2; Kamar lantai 3; Rooftop; View dari rooftop; Akses jalan ke Bintaro","Aerial townhouse row; Tracking shot facade; Reveal rooftop dari atas; Route ke Bintaro","Townhouse 3 lantai 10 menit dari Bintaro... tapi harganya bisa setengahnya. The Brawijaya Pamulang ini proof bahwa lokasi premium gak harus budget premium. Tour yuk!","DM kami kata JADWAL untuk survey The Brawijaya Pamulang.",30s
W1-THU-02,ENTERTAINING,-,"POV: Cari Rumah Pertama Bareng Pasangan","POV: Kamu dan pasangan akhirnya survey rumah pertama... tapi selera beda 180 derajat.","[SETUP] Couple masuk show unit. Suami langsung lihat garasi dan ruang kerja. Istri langsung ke dapur dan taman. [CONFLICT] Suami mau industrial istri mau Scandinavian. Suami mau lantai 1 istri mau lantai 2. [PUNCHLINE] Akhirnya yang menang tetap istri. [RELATABLE] Semua pasangan pasti pernah mengalami ini saat cari rumah pertama.","POV shot masuk rumah; Reaction suami lihat garasi; Reaction istri lihat dapur; Split screen preferensi; Debat lucu; Akhirnya setuju; Closing shot happy","N/A","POV kamu akhirnya survey rumah pertama bareng pasangan. Kamu excited lihat garasi dia excited lihat dapur. Kamu mau industrial dia mau Scandinavian. Sound familiar?","Follow Estetika Property biar gak salah pilih rumah!",25s
