Category,Shot Type,Shot Name,Description,Camera Movement,Duration,Priority,Equipment,Notes
PROPERTY TOUR,Exterior,Gate Entrance,"Main gate of the cluster/property showing branding and security","Dolly in or walk-through",3-5s,HIGH,"Gimbal; Wide Lens","Shoot from car perspective entering for immersive feel"
PROPERTY TOUR,Exterior,Facade Front,"Full front view of the house showing architectural design","Static wide then gimbal push-in",5-7s,HIGH,"Gimbal; Wide Lens; Drone","Low angle makes house look grander. Shoot both straight-on and 45-degree"
PROPERTY TOUR,Exterior,Street View,"The street/corridor of the cluster showing neighborhood feel","Walking gimbal shot or drone tracking",3-5s,MEDIUM,"Gimbal; Drone","Best shot early morning when streets are empty and clean"
PROPERTY TOUR,Interior,Living Room,"Main living area showing space and natural light","Gimbal push-in from entrance or pan left-to-right",5-8s,HIGH,"Gimbal; Wide Lens","Open all curtains for maximum natural light. Remove clutter."
PROPERTY TOUR,Interior,Dining Area,"Dining space showing connection to kitchen and living","Static or slow pan",3-5s,MEDIUM,"Gimbal; Wide Lens","Style with table setting if available for lifestyle feel"
PROPERTY TOUR,Interior,Kitchen,"Kitchen area showing cabinets countertops and appliances","Slow dolly shot along counter or push-in",5-7s,HIGH,"Gimbal; Wide Lens","Ensure all cabinet doors closed. Show storage solutions."
PROPERTY TOUR,Interior,Bedroom Master,"Master bedroom showing space wardrobe area and natural light","Push-in from door or slow pan revealing space",5-7s,HIGH,"Gimbal; Wide Lens","Make bed neat. Open curtains halfway for cinematic light."
PROPERTY TOUR,Interior,Bedroom Secondary,"Additional bedrooms showing versatility","Quick push-in or pan",3-4s,MEDIUM,"Gimbal","Show different use cases: kids room office guest room"
PROPERTY TOUR,Interior,Bathroom,"Bathroom showing fixtures finishes and space","Slow reveal from mirror or push-in from door",3-5s,MEDIUM,"Gimbal; Wide Lens","Ensure dry and clean. Turn on warm lights for ambiance."
PROPERTY TOUR,Exterior,Backyard/Garden,"Rear garden or outdoor space","Pan or drone low shot",3-5s,MEDIUM,"Gimbal; Drone","Morning light best for green vibrancy"
PROPERTY TOUR,Facilities,Club House,"Community clubhouse showing amenities","Wide establishing then detail shots",5-8s,HIGH,"Gimbal; Drone","Show both exterior and key interior areas"
PROPERTY TOUR,Facilities,Swimming Pool,"Pool area showing size and surroundings","Drone overhead then ground level","5-7s",HIGH,"Drone; Gimbal","Morning before 9am for clear water reflection and no crowd"
PROPERTY TOUR,Facilities,Playground,"Children play area showing equipment and safety","Pan shot or gimbal walk-through",3-5s,MEDIUM,"Gimbal","Best with children playing (get parent permission) or early morning"
PROPERTY TOUR,Facilities,Jogging Track,"Running/walking path showing landscape","Drone tracking or gimbal walk",3-5s,LOW,"Drone; Gimbal","Show greenery alongside track. Runner if available."
PROPERTY TOUR,Facilities,Security System,"Gate security CCTV showing safety features","Static or slight pan",2-3s,LOW,"Handheld","Show 24hr security presence and technology"

AREA REVIEW,Exterior,Main Road Access,"Main road leading to the property area","Drone tracking or dashcam style",5-7s,HIGH,"Drone; GoPro","Show road quality width and traffic condition at peak hours"
AREA REVIEW,Exterior,Access Road to Cluster,"Secondary road from main road to cluster entrance","Gimbal walk or car POV",3-5s,HIGH,"Gimbal; GoPro","Show distance and condition. Note landmarks for directions."
AREA REVIEW,Commercial,Shopping Area,"Nearest mall market or commercial center","Wide establishing shot then details",5-7s,HIGH,"Gimbal; Drone","Show variety: mall minimarket restaurants. Note distance."
AREA REVIEW,Commercial,Traditional Market,"Nearby traditional market for daily needs","Gimbal walk-through",3-5s,MEDIUM,"Gimbal","Show freshness and accessibility for daily shopping"
AREA REVIEW,Education,Schools Nearby,"Schools in the area (SD SMP SMA International)","Drive-by or static establishing",3-5s,HIGH,"Gimbal; Car mount","Capture school name and facade. Show proximity to cluster."
AREA REVIEW,Education,University/College,"Higher education institutions nearby","Static wide shot",2-3s,MEDIUM,"Gimbal","Important for investment/kost potential content"
AREA REVIEW,Healthcare,Hospital/Clinic,"Nearest hospital or clinic","Static establishing shot",2-3s,HIGH,"Gimbal","Show name and 24hr sign. Note distance in post."
AREA REVIEW,Transport,Public Transportation,"Nearest station bus stop or angkot route","Show station entrance or bus stop",3-5s,HIGH,"Gimbal; Handheld","Show KRL station MRT LRT or bus stop. Capture crowd for credibility."
AREA REVIEW,Transport,Toll Access,"Nearest toll gate showing connectivity","Drive shot approaching toll",3-5s,HIGH,"GoPro; Car mount","Show toll name and capture the drive approach"
AREA REVIEW,Infrastructure,Road Development,"New roads being built showing area growth","Drone aerial of construction",3-5s,MEDIUM,"Drone","Shows future potential and development commitment"
AREA REVIEW,Lifestyle,Restaurant/Cafe Area,"Dining and lifestyle options nearby","Gimbal walk-through area",3-5s,LOW,"Gimbal","Show variety and quality of lifestyle options"
AREA REVIEW,Lifestyle,Recreation,"Parks and recreation options","Wide shot or drone",3-5s,LOW,"Drone; Gimbal","Golf course waterpark nature spots etc."
DEVELOPER REVIEW,Branding,Gate and Signage,"Developer branded entrance showing professionalism","Dolly in showing gate detail",3-5s,HIGH,"Gimbal","Clean well-maintained gate shows developer quality and commitment"
DEVELOPER REVIEW,Branding,Marketing Collateral,"Billboards banners flags showing active marketing","Pan across marketing materials",2-3s,MEDIUM,"Handheld","Shows developer is actively selling and investing in brand"
DEVELOPER REVIEW,Facilities,Sales Gallery,"Developer sales gallery showing professionalism","Walk-through gimbal shot",5-7s,HIGH,"Gimbal","Clean professional gallery indicates serious developer"
DEVELOPER REVIEW,Facilities,Show Unit,"Furnished show unit showing quality standard","Full tour gimbal push-in room by room",15-20s,HIGH,"Gimbal; Wide Lens","Key selling tool. Shoot comprehensively with detail shots."
DEVELOPER REVIEW,Quality,Construction Quality,"Close-up of material quality workmanship","Macro/close-up shots",5-8s,HIGH,"Macro lens; Handheld","Show wall finish tile alignment paint quality plumbing electrical"
